,Month,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,Cleared Volume,MCV
0,1,66303.25,123445.11000000002,257151.31,224360.27999999997,171612.32,370086.5,0.0,578074.97,83359.9,2838.4,813303.68,382421.37,895051.8399999999,3968004.4699999997,3988900.24
1,2,74862.97,104828.98000000001,208028.44,434917.15,238676.95,476956.27,0.0,534379.41,142714.33000000002,3102.46,568893.78,675279.49,757637.25,4220272.12,4222713.99
2,3,37087.81,144506.05,620054.99,474525.57999999996,326302.02999999997,786295.1599999999,0.0,199910.55,51569.67,2823.86,304063.81000000006,447513.10000000003,1247417.93,4642064.05,4657620.350000001
3,4,42797.94,215447.04,386198.01,469504.46,523446.95000000007,760255.2200000001,0.0,54273.49,42244.35,1558.74,72899.64,507490.70999999996,325247.66,3401358.2800000003,3401358.27
4,5,22426.57,147490.98,581634.3799999999,940433.68,796148.85,477740.1,0.0,201199.84,61656.619999999995,3883.37,403408.38,303068.9,844138.1099999999,4783223.72,4783223.66
5,6,21867.96,293953.79000000004,1161493.23,401552.32999999996,1203822.68,299888.95999999996,0.0,268069.34,28303.2,7674.0599999999995,485591.3599999999,254139.41999999998,721791.57,5148140.5,5153962.08
6,7,39022.55,329504.52,1006321.6099999999,307805.8,902638.75,151259.62,2510.39,250225.27999999997,13564.22,3336.04,387093.94,281979.5,346469.37,4021726.8900000006,4021726.8900000006
7,8,55156.11,172261.42,992383.85,367431.84,891022.95,145208.2,737.15,315096.81,10591.66,11180.15,340356.88,358900.82,395712.43,4056035.64,4056035.62
8,9,45933.21000000001,153102.26,1202780.3599999999,354781.36,841034.5999999999,143843.09999999998,3314.81,515643.55999999994,11953.11,10450.4,702950.6300000001,546906.0599999999,971091.7499999999,5503778.699999999,5503778.74
9,10,25559.1,142017.38,756153.8600000001,408913.65,262221.38999999996,189471.76,0.0,566425.74,167436.27000000002,46454.84,653162.5,556855.0,1193498.38,4968163.64,4968163.550000001
10,11,15339.369999999999,148644.02,573144.0,411881.05999999994,176435.56,356204.88,0.0,438839.92000000004,174156.62,11938.47,727233.5299999999,330547.20000000007,1294276.1199999999,4658635.869999999,4660641.77
11,12,15897.75,135431.9,986922.52,621454.12,158948.61000000002,800845.2000000001,798.66,403829.8,66090.26,23221.61,713087.63,178125.45,1917476.5099999998,6022125.19,6021945.92
12,13,19228.75,105528.77,861321.81,538145.99,114603.65,801351.75,7784.7,337727.75,27941.41,25872.49,542333.67,332426.98,867567.0800000001,4581830.83,4581830.81
13,14,31242.58,114508.16,798324.84,836388.33,118477.86000000002,1077973.1,8487.36,434741.45,43155.32000000001,23455.9,599759.45,367886.64,658634.3400000001,5113030.98,5113030.99
14,15,36377.26,176184.22999999998,1065309.76,646410.7999999999,141822.3,1899387.7799999998,32647.539999999997,720523.97,94092.38,39945.87,1061478.49,376741.62999999995,922815.99,7213732.369999999,7228464.54
15,16,11842.8,59826.03,458146.48000000004,163060.18,286107.98,2051752.39,10032.79,639299.72,107813.01,16448.059999999998,849762.38,204827.68,662783.04,5521697.76,5542564.050000001
16,17,18980.71,53953.46,545848.31,277479.82999999996,351630.46,968356.44,1459.79,576868.15,34114.25,94442.63,330939.83,82139.81,774346.57,4110555.2199999997,4110559.23
17,18,29271.75,124894.41999999998,1167973.29,378966.05000000005,607200.64,715642.5899999999,2583.71,529505.37,48344.869999999995,160167.80000000002,529872.06,201360.57,479498.23,4975275.1899999995,4975275.1899999995
18,19,24678.97,222414.57,528757.86,252725.03999999998,677807.38,401199.04000000004,0.0,800142.86,25514.519999999997,126581.23999999999,327722.45,189903.25999999998,353467.61,3930910.42,3939696.5300000003
19,20,27845.85,218658.13,579162.69,383831.47,737907.51,736704.01,7300.0,1146711.67,21655.579999999998,207090.02,316753.97000000003,96916.01999999999,744636.28,5225168.890000001,5231079.35
20,21,42174.170000000006,211058.64,1036502.8999999999,880244.79,738572.27,1229854.22,534.53,2035949.28,38167.49,137994.28,258627.16,147230.15,938774.12,7695677.850000001,7695677.850000001
21,22,47540.4,114032.62999999999,926039.28,419678.73,391430.26999999996,611736.8600000001,0.0,1791969.8699999999,60190.990000000005,123558.3,602201.96,302665.58,962055.79,6353095.3100000005,6353095.3100000005
22,23,28213.22,125064.88999999998,1790657.4300000002,324662.4,227374.4,222804.87999999998,0.0,357557.33,12034.670000000002,201119.5,308534.95,50479.31,611102.0700000001,4259599.38,4259599.38
23,24,32356.979999999996,187828.88,2395589.26,226951.31,165334.0,648832.35,330.51,429736.72000000003,43253.45,178072.02000000002,594367.62,103887.69,1101570.49,6108104.23,6108104.23
24,25,21563.52,57883.26,1211328.72,98142.91,100848.89000000001,751221.72,514.28,325681.65,34577.26,48373.84,401295.67,76029.66,655218.9,3782676.34,3856071.02
25,26,47494.92,115116.56,1549073.73,252053.84,120268.47,1066822.97,609.91,299841.83999999997,30713.25,84592.42000000001,513294.27999999997,70739.94,963659.0,5114276.54,5114276.54
26,27,55233.329999999994,162346.91,1751927.37,436741.11,164124.12,1887685.8800000001,4417.4800000000005,398293.17000000004,51120.91,64022.86,825771.74,62946.6,1156231.94,7020857.4399999995,7020857.4399999995
27,28,36978.590000000004,98186.24999999999,311304.01999999996,374783.42,275851.03,1231627.18,222.71,578151.25,48424.58,68450.62999999999,518738.98,141079.24,1078845.3,4762638.109999999,4763325.87
28,29,17389.48,38910.64,162251.51,276584.42000000004,237285.05000000002,379404.36,0.0,621943.3300000001,80635.81999999999,26324.98,259731.9,109092.45000000001,456973.75,2666523.92,2666523.92
29,30,26211.390000000003,274461.47,507529.15,197697.41,242136.26,306871.38,600.0,772677.02,101622.33,86411.79,614964.26,289584.44,947727.0399999999,4368487.31,4368487.31
30,31,30445.21,208447.0,599674.36,48378.030000000006,183861.23,454772.62999999995,27633.71,327764.54000000004,45901.82,73777.31,467994.59,97764.15999999999,654165.2000000001,3220575.3899999997,3220575.3899999997
31,32,49078.76,165630.48,516242.19,85123.77,271112.13,634743.94,97684.55000000002,480618.77,55878.32000000001,212922.33,374558.35,50389.009999999995,263883.61,3257861.2800000003,3257861.2800000003
32,33,54173.689999999995,128064.17,843003.85,205917.69,373915.54000000004,481664.98,26577.43,1083760.6,118302.1,337900.09,379201.45999999996,117735.41,478485.58,4628695.529999999,4628695.529999999
33,34,52176.68,98300.7,903686.49,146232.93,334485.69,749838.56,4565.9,545662.0800000001,17934.79,63908.659999999996,271943.44,84312.91999999998,317962.87,3591006.0,3591006.0
34,35,35056.47,81652.43000000001,1209469.41,101689.58,224783.26,973388.8099999999,4217.66,766016.15,9562.73,24849.66,244931.90999999997,58984.32000000001,633975.2000000001,4368572.149999999,4368572.149999999
35,36,27743.25,70208.13,1969055.2100000002,293499.35,146818.1,1274071.3,1988.7199999999998,372033.30000000005,36820.22,8767.93,312766.18999999994,142722.68000000002,1080041.84,5736528.9,5736528.9
36,37,42166.85,100428.84,1312590.56,282234.57,62513.12999999999,810136.74,412.5,374562.1,59222.509999999995,30871.409999999996,512214.81,209590.52,916633.77,4713571.319999999,4713571.319999999
37,38,48768.0,66683.51000000001,1173680.22,222286.62,68314.92,1272283.46,0.0,192583.01,42326.979999999996,39571.85,333478.57999999996,190711.68,760752.5700000001,4411434.71,4411434.71
38,39,47647.25,72867.35,1086757.8,307694.76,189023.12,1579321.17,6851.219999999999,328750.29000000004,132592.68,81214.74,454556.89,258741.35,1102708.54,5648717.72,5648717.72
39,40,20384.75,70188.03,750367.1499999999,124876.63,258752.18,1639509.36,196.32,191580.93,77358.61,31862.510000000002,344098.14,183891.93,739834.28,4432894.100000001,4433063.67
40,41,16894.97,37556.03,333524.04000000004,60236.0,286797.3,765779.8099999999,22438.97,250393.96,80069.79,3089.71,378315.35000000003,219342.46,1150211.66,3604643.81,3660563.05
41,42,17706.27,54896.14,365798.61,167520.75,442174.70999999996,903559.15,249903.02999999997,299728.83,137065.94999999998,3566.4,546375.9700000001,182195.46,1297204.3800000001,4667687.69,4667687.69
42,43,15484.45,64759.55999999999,624746.5,193559.25,697674.74,825611.4099999999,5500.15,212186.12,66156.43,2688.0,415831.94999999995,95525.18000000001,549127.22,3768845.04,3769485.23
43,44,22411.72,41128.259999999995,572689.06,56012.96000000001,523909.45999999996,555439.12,95327.51,286559.85,76931.25,2172.0,509126.5399999999,206086.49,663622.7300000001,3611411.3200000003,3611411.3200000003
44,45,37421.51,73789.94,608920.21,122381.05000000002,245947.62999999998,861581.8399999999,53327.75,274095.1,223428.94,3364.8,360978.43,291047.66000000003,711802.93,3868080.9599999995,3868080.9599999995
45,46,18539.309999999998,83257.88,484434.48,173329.13999999998,331116.93,559269.76,27708.81,188944.13,185487.6,2392.8,647655.81,246147.04,1014516.22,3962793.79,3962858.6799999997
46,47,30038.31,69756.13,691389.4500000001,385243.98000000004,223272.02,916834.96,115062.59999999999,148553.21,112975.69,3549.1000000000004,416574.42000000004,140617.59000000003,1291486.01,4545347.16,4545613.5
47,48,23498.75,10310.91,673174.53,541611.02,266429.4,881227.63,2459.6400000000003,124086.28,86549.9,2287.2000000000003,816101.48,148610.53999999998,2065983.7599999998,5642323.78,5642323.78
